name,username,license,tags,freesound_id,path
organ pad G#1.wav,Jovica,https://creativecommons.org/licenses/by/4.0/,"['multisample', 'organ', 'pad', 'reaktor']",15151,files/15151_2518-hq.ogg
nord_hard_organ_G#1.wav,medialint,http://creativecommons.org/licenses/sampling+/1.0/,"['analog', 'nord', 'organ', 'pad', 'synthesizer']",11853,files/11853_32690-hq.ogg
organA7.wav,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"['drone', 'multisample', 'organ', 'pad', 'synth']",41826,files/41826_4948-hq.ogg
Live_Crisp organ 01.wav,gunnbladez,https://creativecommons.org/licenses/by/4.0/,"['bass', 'free', 'guitar', 'live', 'organ', 'session']",98066,files/98066_1603602-hq.ogg
PPG 008 Dissonant Space Organ G#4.wav,Jovica,https://creativecommons.org/licenses/by/4.0/,"['chord', 'dissonant', 'multisample', 'organ', 'ppg']",4795,files/4795_2518-hq.ogg
Pump Organ - Mid D.wav,elankford,http://creativecommons.org/licenses/by/3.0/,"['d', 'd3', 'note', 'organ', 'pump', 'reed']",95722,files/95722_12021-hq.ogg
105 Undergrit Organ Layer 02.wav,gunnbladez,https://creativecommons.org/licenses/by/4.0/,"['cake', 'free', 'gunnbladez', 'layer', 'organ', 'slightlygrity', 'sound']",106754,files/106754_1603602-hq.ogg
Organ - quiet - D#4 (NT5_Man3Quiet_149_rr1.wav),sgossner,http://creativecommons.org/publicdomain/zero/1.0/,"['midi-note-63', 'organ', 'keys', 'dsharp4', 'quiet', 'multisample', 'vsco-2', 'single-note', 'midi-velocity-63']",373715,files/373715_2475994-hq.ogg
House Organ C#3.wav,johnthewizar,http://creativecommons.org/publicdomain/zero/1.0/,"['House', 'Vibes', 'Happy-Hardcore', 'Organ', 'Multisampled']",261038,files/261038_2555348-hq.ogg
Synth-organ-63,pe_mace,https://creativecommons.org/licenses/by/4.0/,"['Synth', 'Organ', 'Multisampled']",784698,files/784698_7061184-hq.ogg
Synth-organ-41,pe_mace,http://creativecommons.org/publicdomain/zero/1.0/,"['SYnth', 'Organ', 'Note']",784095,files/784095_7061184-hq.ogg
rargh_organ_e.wav,KrimZon,http://creativecommons.org/licenses/sampling+/1.0/,"['buzz', 'distorted', 'organ', 'rotary', 'synth']",15827,files/15827_37597-hq.ogg
Organ - loud - F3 (Rode_Pedal_19.wav),sgossner,http://creativecommons.org/publicdomain/zero/1.0/,"['f3', 'vsco-2', 'midi-note-54', 'organ', 'keys', 'multisample', 'single-note', 'midi-velocity-63', 'loud']",373701,files/373701_2475994-hq.ogg
