freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f0,574234__kbrecordzz__groove-metal-break-6.wav,0,4192,0.014993314524643293,-553.8515,135.51355,5.7187686,48.788296,8.2440195,19.066427,14.943717,7.8015676,7.899143,3.0212715,1.904186,3.7261534,9.450819
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f1,574234__kbrecordzz__groove-metal-break-6.wav,4192,8384,0.00726598865203275,-654.089,172.66554,-23.877794,55.474205,-1.1458262,15.505376,-0.22892992,-5.4787555,-1.7676916,2.8058875,-8.998849,-11.591092,1.0886015
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f2,574234__kbrecordzz__groove-metal-break-6.wav,8384,12576,0.0075128742756734364,-539.2198,120.32078,10.51547,31.013605,-0.9093761,-0.85659504,1.4258676,-3.089164,3.9889555,-6.1657805,-2.6305077,-8.455495,-0.11112166
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f3,574234__kbrecordzz__groove-metal-break-6.wav,12576,16768,0.006578112376555232,-561.527,119.98604,1.8760287,38.022602,-2.1647227,10.617879,11.188397,-0.15590599,1.3403951,-6.905506,-7.012352,-8.325988,-0.62819076
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f4,574234__kbrecordzz__groove-metal-break-6.wav,16768,20960,0.01427376088295274,-527.71814,125.89201,13.540873,45.003468,14.551935,31.10974,14.344812,-3.2248335,-1.2067972,-5.262926,-2.9220693,0.19267277,2.3378284
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f5,574234__kbrecordzz__groove-metal-break-6.wav,20960,25152,0.0057902695568463275,-681.66895,173.44345,4.068679,52.500313,10.801057,14.699813,2.7319136,-3.958851,-6.9066954,-5.157035,-6.9948153,-8.547685,-0.71426237
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f6,574234__kbrecordzz__groove-metal-break-6.wav,25152,29344,0.013377771122764994,-554.4689,120.99001,7.3123693,40.57934,5.3100133,32.768784,18.57437,1.5178984,2.3277016,-11.447264,4.5378046,-8.563951,-6.5000873
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f7,574234__kbrecordzz__groove-metal-break-6.wav,29344,33536,0.007155065773097613,-644.83875,163.1323,-1.0932769,55.823154,12.954845,17.261765,8.655833,7.2368193,1.6849111,2.9659863,-1.8749949,-7.880407,2.9260893
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f8,574234__kbrecordzz__groove-metal-break-6.wav,33536,37728,0.006891263805272925,-603.7381,138.783,7.943492,32.344032,-2.044821,8.512068,1.1916733,-1.6887687,-0.21962258,-3.5138946,5.6305614,-0.6422079,9.547297
574234__kbrecordzz__groove-metal-break-6.wav,574234__kbrecordzz__groove-metal-break-6.wav_f9,574234__kbrecordzz__groove-metal-break-6.wav,37728,41920,0.006556316641450838,-578.57465,122.8481,12.213585,31.367462,10.965182,10.97439,17.448864,2.2819707,5.444435,2.4256284,3.649587,-2.7043467,5.412881
